"Name","MEDDRA_prefLabel","identical","MEDDRA_ID","url","classified_as","classified_as_ID","classifies","classifies_ID","subclassof","subclassof_ID"
"Hepatic neoplasm malignant","Hepatic neoplasm malignant",TRUE,10019697,"http://purl.bioontology.org/ontology/MEDDRA/10019697","Hepatic cancer","10073069",NA,NA,NA,NA
"Antepartum haemorrhage","Antepartum haemorrhage",TRUE,10002667,"http://purl.bioontology.org/ontology/MEDDRA/10002667","Haemorrhage in pregnancy","10018981",NA,NA,NA,NA
"Pruritus ani","Pruritus ani",TRUE,10037089,"http://purl.bioontology.org/ontology/MEDDRA/10037089","Anal pruritus","10068172",NA,NA,NA,NA
"Breast infection","Breast infection",TRUE,10006259,"http://purl.bioontology.org/ontology/MEDDRA/10006259","Mastitis","10026883",NA,NA,NA,NA
"Chest wall pain","Chest wall pain",TRUE,10008496,"http://purl.bioontology.org/ontology/MEDDRA/10008496","Musculoskeletal chest pain","10050819",NA,NA,NA,NA
"Balanitis","Balanitis",TRUE,10004073,"http://purl.bioontology.org/ontology/MEDDRA/10004073","Balanoposthitis","10004078",NA,NA,NA,NA
"Bone marrow depression","Bone marrow depression",TRUE,10005986,"http://purl.bioontology.org/ontology/MEDDRA/10005986","Bone marrow failure","10065553",NA,NA,NA,NA
"Multiple myeloma","Multiple myeloma",TRUE,10028228,"http://purl.bioontology.org/ontology/MEDDRA/10028228","Plasma cell myeloma","10035226",NA,NA,NA,NA
"Early morning awakening","Early morning awakening",TRUE,10014046,"http://purl.bioontology.org/ontology/MEDDRA/10014046","Terminal insomnia","10068932",NA,NA,NA,NA
"Acrodermatitis","Acrodermatitis",TRUE,10000593,"http://purl.bioontology.org/ontology/MEDDRA/10000593","Dermatitis","10012431",NA,NA,NA,NA
"Tongue black hairy","Tongue black hairy",TRUE,10043941,"http://purl.bioontology.org/ontology/MEDDRA/10043941","Trichoglossia","10080276",NA,NA,NA,NA
"Mouth plaque","Mouth plaque",TRUE,10028032,"http://purl.bioontology.org/ontology/MEDDRA/10028032","Oropharyngeal plaque","10067721",NA,NA,NA,NA
"Chromosome abnormality","Chromosome abnormality",TRUE,10008815,"http://purl.bioontology.org/ontology/MEDDRA/10008815","Cytogenetic abnormality","10067477",NA,NA,NA,NA
"Vaccinia","Vaccinia",TRUE,10066048,"http://purl.bioontology.org/ontology/MEDDRA/10066048","Vaccinia virus infection","10046865",NA,NA,NA,NA
"Langerhans' cell granulomatosis","Langerhans' cell granulomatosis",TRUE,10023688,"http://purl.bioontology.org/ontology/MEDDRA/10023688","Langerhans' cell histiocytosis","10069698",NA,NA,NA,NA
"Genitalia external painful","Genitalia external painful",TRUE,10018184,"http://purl.bioontology.org/ontology/MEDDRA/10018184","Genital pain","10061979",NA,NA,NA,NA
"Virus serology test","Virus serology test",TRUE,10061410,"http://purl.bioontology.org/ontology/MEDDRA/10061410","Viral test","10062358",NA,NA,NA,NA
"Colitis collagenous","Colitis collagenous",TRUE,10048928,"http://purl.bioontology.org/ontology/MEDDRA/10048928","Colitis microscopic","10056979",NA,NA,NA,NA
"Vascular anomaly","Vascular anomaly",TRUE,10047050,"http://purl.bioontology.org/ontology/MEDDRA/10047050","Vascular malformation","10074979",NA,NA,NA,NA
"Vaginal candidiasis","Vaginal candidiasis",TRUE,10046898,"http://purl.bioontology.org/ontology/MEDDRA/10046898","Vulvovaginal candidiasis","10047784",NA,NA,NA,NA
"Coronary artery atherosclerosis","Coronary artery atherosclerosis",TRUE,10011076,"http://purl.bioontology.org/ontology/MEDDRA/10011076","Arteriosclerosis coronary artery","10003211",NA,NA,NA,NA
"Prostration","Prostration",TRUE,10036985,"http://purl.bioontology.org/ontology/MEDDRA/10036985","Fatigue","10016256",NA,NA,NA,NA
"Heat rash","Heat rash",TRUE,10019343,"http://purl.bioontology.org/ontology/MEDDRA/10019343","Miliaria","10027627",NA,NA,NA,NA
"Optic neuritis retrobulbar","Optic neuritis retrobulbar",TRUE,10030945,"http://purl.bioontology.org/ontology/MEDDRA/10030945","Optic neuritis","10030942",NA,NA,NA,NA
"Spastic paralysis","Spastic paralysis",TRUE,10041415,"http://purl.bioontology.org/ontology/MEDDRA/10041415","Paralysis","10033799",NA,NA,NA,NA
"Varicella zoster virus serology positive","Varicella zoster virus serology positive",TRUE,10063144,"http://purl.bioontology.org/ontology/MEDDRA/10063144","Varicella virus test positive","10070214",NA,NA,NA,NA
"Diphtheria toxin antibody absent","Diphtheria toxin antibody absent",TRUE,10059761,"http://purl.bioontology.org/ontology/MEDDRA/10059761","Corynebacterium test negative","10070398",NA,NA,NA,NA
"Myopericarditis","Myopericarditis",TRUE,10028650,"http://purl.bioontology.org/ontology/MEDDRA/10028650","Myocarditis","10028606",NA,NA,NA,NA
"Blood human chorionic gonadotropin positive","Blood human chorionic gonadotropin positive",TRUE,10054083,"http://purl.bioontology.org/ontology/MEDDRA/10054083","Human chorionic gonadotropin positive","10071335",NA,NA,NA,NA
"Drug exposure during pregnancy","Drug exposure during pregnancy",TRUE,10049193,"http://purl.bioontology.org/ontology/MEDDRA/10049193","Exposure during pregnancy","10073513",NA,NA,NA,NA
"Allergic granulomatous angiitis","Allergic granulomatous angiitis",TRUE,10048594,"http://purl.bioontology.org/ontology/MEDDRA/10048594","Eosinophilic granulomatosis with polyangiitis","10078117",NA,NA,NA,NA
"Borrelia burgdorferi serology","Borrelia burgdorferi serology",TRUE,10059731,"http://purl.bioontology.org/ontology/MEDDRA/10059731","Borrelia test","10070279",NA,NA,NA,NA
"Calculus ureteric","Calculus ureteric",TRUE,10007025,"http://purl.bioontology.org/ontology/MEDDRA/10007025","Ureterolithiasis","10077989",NA,NA,NA,NA
"Eye rolling","Eye rolling",TRUE,10015964,"http://purl.bioontology.org/ontology/MEDDRA/10015964","Eye movement disorder","10061129",NA,NA,NA,NA
"Cardiac enzymes increased","Cardiac enzymes increased",TRUE,10007548,"http://purl.bioontology.org/ontology/MEDDRA/10007548","Myocardial necrosis marker increased","10075211",NA,NA,NA,NA
"Benign intracranial hypertension","Benign intracranial hypertension",TRUE,10004277,"http://purl.bioontology.org/ontology/MEDDRA/10004277","Idiopathic intracranial hypertension","10078904",NA,NA,NA,NA
"Streptococcal identification test positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Renal failure chronic","Renal failure chronic",TRUE,10038444,"http://purl.bioontology.org/ontology/MEDDRA/10038444","Chronic kidney disease","10064848",NA,NA,NA,NA
"Blood pressure","Blood pressure",TRUE,10005727,"http://purl.bioontology.org/ontology/MEDDRA/10005727","Blood pressure measurement","10076581",NA,NA,NA,NA
"Activities of daily living impaired","Activities of daily living impaired",TRUE,10050954,"http://purl.bioontology.org/ontology/MEDDRA/10050954","Loss of personal independence in daily activities","10079487",NA,NA,NA,NA
"Expressive language disorder","Expressive language disorder",TRUE,10015715,"http://purl.bioontology.org/ontology/MEDDRA/10015715","Language disorder","10074869",NA,NA,NA,NA
"Renal cell carcinoma stage unspecified","Renal cell carcinoma stage unspecified",TRUE,10038415,"http://purl.bioontology.org/ontology/MEDDRA/10038415","Renal cell carcinoma","10067946",NA,NA,NA,NA
"Tetanus antibody negative","Tetanus antibody negative",TRUE,10060309,"http://purl.bioontology.org/ontology/MEDDRA/10060309","Clostridium test negative","10070271",NA,NA,NA,NA
"Pertussis identification test negative","Pertussis identification test negative",TRUE,10064634,"http://purl.bioontology.org/ontology/MEDDRA/10064634","Bordetella test negative","10070278",NA,NA,NA,NA
"CSF bacteria identified","CSF bacteria identified",TRUE,10061792,"http://purl.bioontology.org/ontology/MEDDRA/10061792","Bacterial test positive","10059421",NA,NA,NA,NA
"Juvenile arthritis","Juvenile arthritis",TRUE,10059177,"http://purl.bioontology.org/ontology/MEDDRA/10059177","Juvenile idiopathic arthritis","10059176",NA,NA,NA,NA
"No adverse drug effect","No adverse drug effect",TRUE,10052808,"http://purl.bioontology.org/ontology/MEDDRA/10052808","No adverse event","10067482",NA,NA,NA,NA
"Venous insufficiency","Venous insufficiency",TRUE,10057320,"http://purl.bioontology.org/ontology/MEDDRA/10057320","Peripheral venous disease","10075049",NA,NA,NA,NA
"Streptococcal serology positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypoaesthesia facial","Hypoaesthesia facial",TRUE,10065312,"http://purl.bioontology.org/ontology/MEDDRA/10065312","Hypoaesthesia","10020937",NA,NA,NA,NA
"Blood cortisol normal","Blood cortisol normal",TRUE,10005459,"http://purl.bioontology.org/ontology/MEDDRA/10005459","Cortisol normal","10011209",NA,NA,NA,NA
"Encephalitis herpes","Encephalitis herpes",TRUE,10014590,"http://purl.bioontology.org/ontology/MEDDRA/10014590","Meningoencephalitis herpetic","10027285",NA,NA,NA,NA
"Excitability","Excitability",TRUE,10015622,"http://purl.bioontology.org/ontology/MEDDRA/10015622","Agitation","10001497",NA,NA,NA,NA
"Nuclear magnetic resonance imaging spinal cord abnormal","Nuclear magnetic resonance imaging spinal cord abnormal",TRUE,10069585,"http://purl.bioontology.org/ontology/MEDDRA/10069585","Nuclear magnetic resonance imaging spinal abnormal","10073474",NA,NA,NA,NA
"Feeding disorder of infancy or early childhood","Feeding disorder of infancy or early childhood",TRUE,10016318,"http://purl.bioontology.org/ontology/MEDDRA/10016318","Selective eating disorder","10078069",NA,NA,NA,NA
"Childhood disintegrative disorder","Childhood disintegrative disorder",TRUE,10008522,"http://purl.bioontology.org/ontology/MEDDRA/10008522","Autism spectrum disorder","10063844",NA,NA,NA,NA
"Influenza serology positive","Influenza serology positive",TRUE,10060078,"http://purl.bioontology.org/ontology/MEDDRA/10060078","Influenza virus test positive","10070717",NA,NA,NA,NA
"Complex partial seizures","Complex partial seizures",TRUE,10010145,"http://purl.bioontology.org/ontology/MEDDRA/10010145","Focal dyscognitive seizures","10079424",NA,NA,NA,NA
"Blood human chorionic gonadotropin negative","Blood human chorionic gonadotropin negative",TRUE,10054084,"http://purl.bioontology.org/ontology/MEDDRA/10054084","Human chorionic gonadotropin negative","10071333",NA,NA,NA,NA
"Reflux oesophagitis","Reflux oesophagitis",TRUE,10038263,"http://purl.bioontology.org/ontology/MEDDRA/10038263","Gastrooesophageal reflux disease","10017885",NA,NA,NA,NA
"Varicella zoster serology negative","Varicella zoster serology negative",TRUE,10067924,"http://purl.bioontology.org/ontology/MEDDRA/10067924","Varicella virus test negative","10070445",NA,NA,NA,NA
"Accidental exposure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syphilis test false positive","Syphilis test false positive",TRUE,10042893,"http://purl.bioontology.org/ontology/MEDDRA/10042893","Treponema test false positive","10070402",NA,NA,NA,NA
"Mixed receptive-expressive language disorder","Mixed receptive-expressive language disorder",TRUE,10027778,"http://purl.bioontology.org/ontology/MEDDRA/10027778","Language disorder","10074869",NA,NA,NA,NA
"Cardiac enzymes","Cardiac enzymes",TRUE,10007547,"http://purl.bioontology.org/ontology/MEDDRA/10007547","Myocardial necrosis marker","10075210",NA,NA,NA,NA
"Latex allergy","Latex allergy",TRUE,10056435,"http://purl.bioontology.org/ontology/MEDDRA/10056435","Rubber sensitivity","10039251",NA,NA,NA,NA
"Blood cortisol decreased","Blood cortisol decreased",TRUE,10005457,"http://purl.bioontology.org/ontology/MEDDRA/10005457","Cortisol decreased","10011198",NA,NA,NA,NA
"Infantile apnoeic attack","Infantile apnoeic attack",TRUE,10065422,"http://purl.bioontology.org/ontology/MEDDRA/10065422","Infantile apnoea","10077321",NA,NA,NA,NA
"Gastrostomy tube insertion","Gastrostomy tube insertion",TRUE,10052592,"http://purl.bioontology.org/ontology/MEDDRA/10052592","Gastrostomy","10048978",NA,NA,NA,NA
"Cytomegalovirus antibody positive","Cytomegalovirus antibody positive",TRUE,10050525,"http://purl.bioontology.org/ontology/MEDDRA/10050525","Cytomegalovirus test positive","10051620",NA,NA,NA,NA
"Red blood cells CSF positive","Red blood cells CSF positive",TRUE,10038173,"http://purl.bioontology.org/ontology/MEDDRA/10038173","CSF red blood cell count positive","10075562",NA,NA,NA,NA
"Rash psoriaform","Rash psoriaform",TRUE,10037885,"http://purl.bioontology.org/ontology/MEDDRA/10037885","Dermatitis psoriasiform","10058675",NA,NA,NA,NA
"Streptococcal identification test negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medical device complication","Medical device complication",TRUE,10057281,"http://purl.bioontology.org/ontology/MEDDRA/10057281","Complication associated with device","10077107",NA,NA,NA,NA
"Autoimmune thrombocytopenia","Autoimmune thrombocytopenia",TRUE,10050245,"http://purl.bioontology.org/ontology/MEDDRA/10050245","Immune thrombocytopenic purpura","10074667",NA,NA,NA,NA
"Unequal limb length","Unequal limb length",TRUE,10065738,"http://purl.bioontology.org/ontology/MEDDRA/10065738","Limb asymmetry","10070670",NA,NA,NA,NA
"Dependence on enabling machine or device","Dependence on enabling machine or device",TRUE,10061102,"http://purl.bioontology.org/ontology/MEDDRA/10061102","Device dependence","10078340",NA,NA,NA,NA
"Vaginal pain","Vaginal pain",TRUE,10046937,"http://purl.bioontology.org/ontology/MEDDRA/10046937","Vulvovaginal pain","10069055",NA,NA,NA,NA
"Herpes simplex serology positive","Herpes simplex serology positive",TRUE,10062583,"http://purl.bioontology.org/ontology/MEDDRA/10062583","Herpes simplex test positive","10077969",NA,NA,NA,NA
"Residual urine","Residual urine",TRUE,10060695,"http://purl.bioontology.org/ontology/MEDDRA/10060695","Urinary retention","10046555",NA,NA,NA,NA
"Wrong technique in drug usage process","Wrong technique in drug usage process",TRUE,10064353,"http://purl.bioontology.org/ontology/MEDDRA/10064353","Wrong technique in product usage process","10076573",NA,NA,NA,NA
"Pertussis identification test","Pertussis identification test",TRUE,10064635,"http://purl.bioontology.org/ontology/MEDDRA/10064635","Bordetella test","10070277",NA,NA,NA,NA
"Influenza serology negative","Influenza serology negative",TRUE,10060079,"http://purl.bioontology.org/ontology/MEDDRA/10060079","Influenza virus test negative","10070718",NA,NA,NA,NA
"Blood cortisol increased","Blood cortisol increased",TRUE,10005458,"http://purl.bioontology.org/ontology/MEDDRA/10005458","Cortisol increased","10011207",NA,NA,NA,NA
"Positive Rombergism","Positive Rombergism",TRUE,10036216,"http://purl.bioontology.org/ontology/MEDDRA/10036216","Romberg test positive","10073242",NA,NA,NA,NA
"Streptococcal serology negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oral soft tissue disorder","Oral soft tissue disorder",TRUE,10061326,"http://purl.bioontology.org/ontology/MEDDRA/10061326","Oral disorder","10067621",NA,NA,NA,NA
"Upper extremity mass","Upper extremity mass",TRUE,10048698,"http://purl.bioontology.org/ontology/MEDDRA/10048698","Limb mass","10078503",NA,NA,NA,NA
"Impingement syndrome","Impingement syndrome",TRUE,10063932,"http://purl.bioontology.org/ontology/MEDDRA/10063932","Rotator cuff syndrome","10039227",NA,NA,NA,NA
"Vaginitis bacterial","Vaginitis bacterial",TRUE,10062167,"http://purl.bioontology.org/ontology/MEDDRA/10062167","Bacterial vulvovaginitis","10079528",NA,NA,NA,NA
"Feeling hot and cold","Feeling hot and cold",TRUE,10016335,"http://purl.bioontology.org/ontology/MEDDRA/10016335","Feeling of body temperature change","10061458",NA,NA,NA,NA
"Mycoplasma serology positive","Mycoplasma serology positive",TRUE,10062671,"http://purl.bioontology.org/ontology/MEDDRA/10062671","Mycoplasma test positive","10070160",NA,NA,NA,NA
"No adverse effect","No adverse effect",TRUE,10029436,"http://purl.bioontology.org/ontology/MEDDRA/10029436","No adverse event","10067482",NA,NA,NA,NA
