"AE_NAME","ID","MEDDRA_AE_NAME","MEDDRA_ID"
"Injection site abscess","10061850","Injection site abscess","10061850"
"Pathological fracture","10002227","Pathological fracture","10002227"
"Retinal haemorrhage","10002449","Retinal haemorrhage","10002449"
"Subdural haematoma","10034623","Subdural haematoma","10034623"
"Crying","10042971","Crying","10042971"
"Urine analysis abnormal","10066957","Urine analysis abnormal","10066957"
"Testicular disorder","10029547","Testicular disorder","10029547"
"Small for dates baby","10007953","Small for dates baby","10007953"
"Skin ulcer","10025310","Skin ulcer","10025310"
"Arthritis","10020631","Arthritis","10020631"
"Conjunctivitis","10035226","Conjunctivitis","10035226"
"Injury","10035484","Injury","10035484"
"Lacrimal disorder","10060880","Lacrimal disorder","10060880"
"Eye pain","10061333","Eye pain","10061333"
"Cellulitis","10061964","Cellulitis","10061964"
"Hypersensitivity","10035531","Hypersensitivity","10035531"
"Right ventricular failure","10035532","Right ventricular failure","10035532"
"Skin discolouration","10035540","Skin discolouration","10035540"
"Skin striae","10043554","Skin striae","10043554"
"Osteoarthritis","10043561","Osteoarthritis","10043561"
"Nuchal rigidity","10043563","Nuchal rigidity","10043563"
"Asthma","10043648","Asthma","10043648"
"Febrile convulsion","10049058","Febrile convulsion","10049058"
"Ventricular septal defect","10062506","Ventricular septal defect","10062506"
"Ear pain","10074667","Ear pain","10074667"
"Bone disorder","10002536","Bone disorder","10002536"
"Cough","10014489","Cough","10014489"
"Cerebrovascular accident","10015287","Cerebrovascular accident","10015287"
"Constipation","10025382","Constipation","10025382"
"Dermatitis exfoliative","10027540","Dermatitis exfoliative","10027540"
"Eczema","10029825","Eczema","10029825"
"Glossitis","10035774","Glossitis","10035774"
"Abnormal labour","10036040","Abnormal labour","10036040"
"Foetal disorder","10036051","Foetal disorder","10036051"
"Anxiety","10038795","Anxiety","10038795"
"Eructation","10038796","Eructation","10038796"
"Acne","10039238","Acne","10039238"
"Hyperglycaemia","10049190","Hyperglycaemia","10049190"
"Neuritis","10049467","Neuritis","10049467"
"Thrombotic thrombocytopenic purpura","10050789","Thrombotic thrombocytopenic purpura","10050789"
"Breast cancer","10061548","Breast cancer","10061548"
"Congenital genitourinary abnormality","10004411","Congenital genitourinary abnormality","10004411"
"Gastrointestinal malformation","10019847","Gastrointestinal malformation","10019847"
"Hydronephrosis","10020094","Hydronephrosis","10020094"
"Lymphoedema","10025180","Lymphoedema","10025180"
"Diabetes mellitus","10025182","Diabetes mellitus","10025182"
"Oral candidiasis","10025183","Oral candidiasis","10025183"
"Sudden infant death syndrome","10025188","Sudden infant death syndrome","10025188"
"Alopecia","10025197","Alopecia","10025197"
"Anaemia","10025205","Anaemia","10025205"
"Systemic lupus erythematosus","10025219","Systemic lupus erythematosus","10025219"
"Lung disorder","10025226","Lung disorder","10025226"
"Herpes simplex","10025282","Herpes simplex","10025282"
"Chest discomfort","10027459","Chest discomfort","10027459"
"Flushing","10033969","Flushing","10033969"
"Pruritus generalised","10037127","Pruritus generalised","10037127"
"Laryngitis","10038802","Laryngitis","10038802"
"Dry mouth","10041633","Dry mouth","10041633"
"Urinary incontinence","10041646","Urinary incontinence","10041646"
"Neoplasm malignant","10041647","Neoplasm malignant","10041647"
"Abnormal dreams","10041648","Abnormal dreams","10041648"
"Bronchitis","10041658","Bronchitis","10041658"
"Oesophagitis","10041659","Oesophagitis","10041659"
"Cyanosis","10041660","Cyanosis","10041660"
"Hemiplegia","10043670","Hemiplegia","10043670"
"Coma","10049025","Coma","10049025"
"Ear disorder","10050167","Ear disorder","10050167"
"Grand mal convulsion","10018659","Generalised tonic-clonic seizure","10018100"
"Myelitis","10050823","Myelitis","10050823"
"Muscle spasms","10051223","Muscle spasms","10051223"
"Muscle atrophy","10051808","Muscle atrophy","10051808"
"Bronchiolitis","10052314","Bronchiolitis","10052314"
"Shock","10052645","Shock","10052645"
"Rheumatoid arthritis","10053622","Rheumatoid arthritis","10053622"
"Purpura","10056284","Purpura","10056284"
"Haemolysis","10057665","Haemolysis","10057665"
"Lymphocytosis","10058339","Lymphocytosis","10058339"
"Ketosis","10058949","Ketosis","10058949"
"Ageusia","10061031","Ageusia","10061031"
"Parosmia","10061381","Parosmia","10061381"
"Arthropathy","10065209","Arthropathy","10065209"
"Tendon rupture","10065224","Tendon rupture","10065224"
"Abortion","10065588","Abortion","10065588"
"Hyperaesthesia","10067015","Hyperaesthesia","10067015"
"Thinking abnormal","10068059","Thinking abnormal","10068059"
"Delusion","10070594","Delusion","10070594"
"Respiratory disorder","10073485","Respiratory disorder","10073485"
"Generalised oedema","10000748","Generalised oedema","10000748"
"Bursitis","10001507","Bursitis","10001507"
"Speech disorder","10004173","Speech disorder","10004173"
"Deafness","10008415","Deafness","10008415"
"Pneumonia","10008906","Pneumonia","10008906"
"Meningitis","10014950","Meningitis","10014950"
"Breast pain","10014952","Breast pain","10014952"
"Rash pustular","10014954","Rash pustular","10014954"
"Electrolyte imbalance","10014961","Electrolyte imbalance","10014961"
"Leukoplakia oral","10014962","Leukoplakia oral","10014962"
"Hypoxia","10016288","Hypoxia","10016288"
"Thrombosis","10017902","Thrombosis","10017902"
"Paraesthesia oral","10018687","Paraesthesia oral","10018687"
"Endocrine disorder","10018690","Endocrine disorder","10018690"
"Hypovitaminosis","10021914","Hypovitaminosis","10021914"
"Goitre","10024328","Goitre","10024328"
"Premature labour","10024378","Premature labour","10024378"
"Vocal cord paralysis","10024384","Vocal cord paralysis","10024384"
"Photosensitivity reaction","10025280","Photosensitivity reaction","10025280"
"Abasia","10049460","Gait inability","10017581"
"Muscular weakness","10027905","Muscular weakness","10027905"
"Biopsy muscle abnormal","10027906","Biopsy muscle abnormal","10027906"
"Blood product transfusion","10005765","Transfusion","10066152"
"Polymyositis","10029354","Polymyositis","10029354"
"Electromyogram abnormal","10029379","Electromyogram abnormal","10029379"
"Autism","10003805","Autism spectrum disorder","10063844"
"Coronary artery disease","10048643","Coronary artery disease","10048643"
"Haemoptysis","10049151","Haemoptysis","10049151"
"Congenital central nervous system anomaly","10049172","Congenital central nervous system anomaly","10049172"
"CSF test","10051645","CSF test","10051645"
"Musculoskeletal stiffness","10052833","Musculoskeletal stiffness","10052833"
"Nuclear magnetic resonance imaging normal","10053430","Nuclear magnetic resonance imaging normal","10053430"
"Staring","10053775","Staring","10053775"
"Electroencephalogram abnormal","10053776","Electroencephalogram abnormal","10053776"
"Palpitations","10055128","Palpitations","10055128"
"Tonic clonic movements","10057271","Tonic clonic movements","10057271"
"Herpes simplex serology negative","10062595","Herpes simplex test negative","10077970"
"Postictal state","10058105","Postictal state","10058105"
"Unresponsive to stimuli","10061314","Unresponsive to stimuli","10061314"
"Growth retardation","10061414","Growth retardation","10061414"
"Mental retardation severity unspecified","10027380","Intellectual disability","10067989"
"Cardiovascular disorder","10062081","Cardiovascular disorder","10062081"
"Neoplasm","10064212","Neoplasm","10064212"
"Depersonalisation","10012357","Depersonalisation/derealisation disorder","10077805"
"Hallucination","10002817","Hallucination","10002817"
"Atrial fibrillation","10009802","Atrial fibrillation","10009802"
"Atrial septal defect","10013442","Atrial septal defect","10013442"
"Dysphonia","10013443","Dysphonia","10013443"
"Stevens-Johnson syndrome","10014080","Stevens-Johnson syndrome","10014080"
"Eye disorder","10016079","Eye disorder","10016079"
"Lethargy","10019008","Lethargy","10019008"
"Erythema","10019009","Erythema","10019009"
"Feeling abnormal","10019617","Feeling abnormal","10019617"
"Ocular hyperaemia","10020608","Ocular hyperaemia","10020608"
"Neuralgia","10020764","Neuralgia","10020764"
"Injection site haemorrhage","10020973","Injection site haemorrhage","10020973"
"Skin disorder","10021688","Skin disorder","10021688"
"Cachexia","10034754","Cachexia","10034754"
"Dry eye","10037549","Dry eye","10037549"
"Decreased appetite","10037556","Decreased appetite","10037556"
"Fatigue","10043645","Fatigue","10043645"
"Epistaxis","10047097","Epistaxis","10047097"
"Nephrotic syndrome","10047623","Nephrotic syndrome","10047623"
"Mucous membrane disorder","10047715","Mucous membrane disorder","10047715"
"Oedema genital","10048619","Oedema genital","10048619"
"Acute lymphocytic leukaemia","10048930","Acute lymphocytic leukaemia","10048930"
"Blood thromboplastin decreased","10049862","Blood thromboplastin decreased","10049862"
"Platelet disorder","10051124","Platelet disorder","10051124"
"Capillary fragility increased","10051292","Capillary fragility increased","10051292"
"Prothrombin level decreased","10051298","Prothrombin level decreased","10051298"
"Hypothermia","10053745","Hypothermia","10053745"
"Pulmonary oedema","10057739","Pulmonary oedema","10057739"
"Ascites","10058279","Ascites","10058279"
"Leukopenia","10061992","Leukopenia","10061992"
"Hyperthyroidism","10062713","Hyperthyroidism","10062713"
"Blood creatine phosphokinase increased","10065304","Blood creatine phosphokinase increased","10065304"
"Complication of pregnancy","10067787","Complication of pregnancy","10067787"
"Hepatomegaly","10069440","Hepatomegaly","10069440"
"Jaundice","10069495","Jaundice","10069495"
"Blood culture","10069666","Blood culture","10069666"
"Febrile infection","10070309","Febrile infection","10070309"
"Pain in extremity","10070599","Pain in extremity","10070599"
"White blood cell count increased","10072726","White blood cell count increased","10072726"
"Body temperature increased","10001115","Body temperature increased","10001115"
"Haematemesis","10003119","Haematemesis","10003119"
"Immunodeficiency","10003124","Immunodeficiency","10003124"
"Clostridial infection","10003130","Clostridial infection","10003130"
"Cardiac arrest","10003658","Cardiac arrest","10003658"
"Anaphylactoid reaction","10003662","Anaphylactoid reaction","10003662"
"Visual field defect","10003668","Visual field defect","10003668"
"Stillbirth","10003671","Stillbirth","10003671"
"Haemorrhage intracranial","10003673","Haemorrhage intracranial","10003673"
"Breath sounds abnormal","10003674","Breath sounds abnormal","10003674"
"Exophthalmos","10003677","Exophthalmos","10003677"
"Hepatic function abnormal","10006093","Hepatic function abnormal","10006093"
"Full blood count","10006094","Full blood count","10006094"
"Urine analysis","10006578","Urine analysis","10006578"
"Liver function test","10006580","Liver function test","10006580"
"Corneal lesion","10006582","Corneal lesion","10006582"
"Laboratory test","10007515","Laboratory test","10007515"
"Nuclear magnetic resonance imaging","10007617","Nuclear magnetic resonance imaging","10007617"
"Debridement","10007618","Debridement","10007618"
"Encephalopathy","10010276","Encephalopathy","10010276"
"Bacterial infection","10012118","Bacterial infection","10012118"
"Skin necrosis","10015856","Skin necrosis","10015856"
"Central nervous system neoplasm","10024803","Central nervous system neoplasm","10024803"
"Seborrhoea","10029458","Seborrhoea","10029458"
"Vasculitis","10029470","Vasculitis","10029470"
"Psychiatric evaluation","10040736","Psychiatric evaluation","10040736"
"Colonoscopy","10040738","Colonoscopy","10040738"
"Pollakiuria","10040739","Pollakiuria","10040739"
"Thirst","10040741","Thirst","10040741"
"Bradycardia","10040752","Bradycardia","10040752"
"Influenza like illness","10042434","Influenza like illness","10042434"
"Immune system disorder","10042602","Immune system disorder","10042602"
"Urinary tract infection","10042604","Urinary tract infection","10042604"
"Weight increased","10043071","Weight increased","10043071"
"Irritability","10043074","Irritability","10043074"
"Pancreatitis","10043079","Pancreatitis","10043079"
"Aspartate aminotransferase increased","10044066","Aspartate aminotransferase increased","10044066"
"Haematocrit decreased","10047281","Haematocrit decreased","10047281"
"Platelet count normal","10047289","Platelet count normal","10047289"
"Blood creatinine normal","10047290","Blood creatinine normal","10047290"
"Hypochromic anaemia","10047294","Hypochromic anaemia","10047294"
"Blood glucose normal","10047302","Blood glucose normal","10047302"
"Rhinorrhoea","10048015","Rhinorrhoea","10048015"
"Blood urea decreased","10049418","Blood urea decreased","10049418"
"Neutropenia","10049447","Neutropenia","10049447"
"White blood cell count decreased","10049765","White blood cell count decreased","10049765"
"Vaginal infection","10049993","Vaginal infection","10049993"
"Hypercalcaemia","10052840","Hypercalcaemia","10052840"
"Optic neuritis","10054015","Optic neuritis","10054015"
"Varicella","10058151","Varicella","10058151"
"Hepatitis","10058155","Hepatitis","10058155"
"Torticollis","10059027","Torticollis","10059027"
"Neurosis","10061158","Neurosis","10061158"
"Hyperbilirubinaemia","10061592","Hyperbilirubinaemia","10061592"
"Jaundice neonatal","10063080","Jaundice neonatal","10063080"
"Borrelia burgdorferi serology positive","10059732","Borrelia test positive","10070011"
"Dystonia","10007649","Dystonia","10007649"
"Orthostatic hypotension","10009691","Orthostatic hypotension","10009691"
"Sialoadenitis","10011703","Sialoadenitis","10011703"
"Gastroenteritis","10011704","Gastroenteritis","10011704"
"Chest X-ray","10013573","Chest X-ray","10013573"
"Electrocardiogram","10013576","Electrocardiogram","10013576"
"Hypothyroidism","10013578","Hypothyroidism","10013578"
"Lichenoid keratosis","10013968","Lichenoid keratosis","10013968"
"Viral infection","10013969","Viral infection","10013969"
"Hepatocellular damage","10019831","Hepatocellular injury","10019837"
"Rectal haemorrhage","10013974","Rectal haemorrhage","10013974"
"Diplopia","10018964","Diplopia","10018964"
"Glaucoma","10019273","Glaucoma","10019273"
"Blood human chorionic gonadotropin negative","10054084","Human chorionic gonadotropin negative","10071333"
"Rubella antibody negative","10020823","Rubella antibody negative","10020823"
"Blood human chorionic gonadotropin positive","10054083","Human chorionic gonadotropin positive","10071335"
"Rubella antibody positive","10033557","Rubella antibody positive","10033557"
"Delivery","10036653","Delivery","10036653"
"Rubella immunity confirmed","10042772","Rubella immunity confirmed","10042772"
"Drug exposure during pregnancy","10049193","Exposure during pregnancy","10073513"
"Photophobia","10048632","Photophobia","10048632"
"Arteriosclerosis","10049235","Arteriosclerosis","10049235"
"Suicide attempt","10052088","Suicide attempt","10052088"
"Hypertrophy","10054211","Hypertrophy","10054211"
"Hypoventilation","10054212","Hypoventilation","10054212"
"Granuloma","10057461","Granuloma","10057461"
"Erythroid maturation arrest","10058039","Erythroid maturation arrest","10058039"
"Chest X-ray normal","10059865","Chest X-ray normal","10059865"
"Electrocardiogram normal","10061024","Electrocardiogram normal","10061024"
"Rotator cuff syndrome","10061200","Rotator cuff syndrome","10061200"
"Memory impairment","10062746","Memory impairment","10062746"
"Chronic fatigue syndrome","10063927","Chronic fatigue syndrome","10063927"
"Fibromyalgia","10065929","Fibromyalgia","10065929"
"Oropharyngeal pain","10066087","Oropharyngeal pain","10066087"
"Cognitive disorder","10068359","Cognitive disorder","10068359"
"Gastric disorder","10049717","Gastric disorder","10049717"
"Chondrodystrophy","10051730","Chondrodystrophy","10051730"
"Cyst","10010972","Cyst","10010972"
"Brain oedema","10012979","Brain oedema","10012979"
"Melaena","10014144","Melaena","10014144"
"Enteritis","10016193","Enteritis","10016193"
"Small intestinal perforation","10021076","Small intestinal perforation","10021076"
"Post vaccination syndrome","10034130","Post vaccination syndrome","10034130"
"Furuncle","10037337","Furuncle","10037337"
"Tongue discolouration","10044443","Tongue discolouration","10044443"
"Hypoglycaemia","10044688","Hypoglycaemia","10044688"
"Delirium","10044703","Delirium","10044703"
"Mental impairment","10053884","Mental impairment","10053884"
"Aphasia","10058079","Aphasia","10058079"
"Heart rate increased","10061054","Heart rate increased","10061054"
"Blood pressure increased","10062901","Blood pressure increased","10062901"
"Vasodilation procedure","10064195","Vasodilation procedure","10064195"
"Swelling","10066022","Swelling","10066022"
"Ear discomfort","10000891","Ear discomfort","10000891"
"Pharyngolaryngeal pain","10034844","Laryngeal pain","10023848"
"Feeling cold","10002388","Feeling cold","10002388"
"Respiratory rate increased","10003211","Respiratory rate increased","10003211"
"Groin pain","10003225","Groin pain","10003225"
"Contusion","10003232","Contusion","10003232"
"Intestinal obstruction","10008469","Intestinal obstruction","10008469"
"Joint swelling","10008479","Joint swelling","10008479"
"Infection parasitic","10011071","Infection parasitic","10011071"
"Suppressed lactation","10011078","Suppressed lactation","10011078"
"Eye oedema","10011084","Eye oedema","10011084"
"Injection site erythema","10011086","Injection site erythema","10011086"
"Rash erythematous","10011089","Rash erythematous","10011089"
"Rash pruritic","10011091","Rash pruritic","10011091"
"Muscle rigidity","10013428","Muscle rigidity","10013428"
"Injection site swelling","10028596","Injection site swelling","10028596"
"Injection site vesicles","10028600","Injection site vesicles","10028600"
"Blood urine","10036759","Blood urine","10036759"
"Inflammation","10048631","Inflammation","10048631"
"Sarcoidosis","10051592","Sarcoidosis","10051592"
"Skin exfoliation","10052895","Skin exfoliation","10052895"
"Eye swelling","10058145","Eye swelling","10058145"
"Patent ductus arteriosus","10059611","Patent ductus arteriosus","10059611"
"Abdominal pain upper","10065420","Abdominal pain upper","10065420"
"Renal failure","10069167","Renal failure","10069167"
"Blood creatinine increased","10072685","Blood creatinine increased","10072685"
"Renal pain","10014663","Renal pain","10014663"
"Sjogren's syndrome","10014665","Sjogren's syndrome","10014665"
"Hypochloraemia","10014666","Hypochloraemia","10014666"
"Hypokalaemia","10014671","Hypokalaemia","10014671"
"Wheezing","10014684","Wheezing","10014684"
"Hyponatraemia","10017529","Hyponatraemia","10017529"
"Fibrin increased","10039054","Fibrin increased","10039054"
"Blood alkaline phosphatase increased","10042276","Blood alkaline phosphatase increased","10042276"
"Joint stiffness","10061837","Joint stiffness","10061837"
"Blood chloride decreased","10001029","Blood chloride decreased","10001029"
"Blood glucose increased","10003445","Blood glucose increased","10003445"
"Carbon dioxide increased","10007522","Carbon dioxide increased","10007522"
"Hypoaesthesia oral","10007554","Hypoaesthesia oral","10007554"
"Lymph node pain","10007556","Lymph node pain","10007556"
"Injection site rash","10007559","Injection site rash","10007559"
"Feeling hot","10007625","Feeling hot","10007625"
"Carpal tunnel syndrome","10010968","Carpal tunnel syndrome","10010968"
"Tendonitis","10010969","Tendonitis","10010969"
"Eyelid oedema","10016803","Eyelid oedema","10016803"
"Skin irritation","10018713","Skin irritation","10018713"
"Vitiligo","10018723","Vitiligo","10018723"
"Urine output decreased","10019645","Urine output decreased","10019645"
"Loss of consciousness","10024119","Loss of consciousness","10024119"
"Disturbance in attention","10030124","Disturbance in attention","10030124"
"Hot flush","10037368","Hot flush","10037368"
"Tenderness","10037423","Tenderness","10037423"
"Blister","10039163","Blister","10039163"
"Peripheral coldness","10048959","Peripheral coldness","10048959"
"Raynaud's phenomenon","10048961","Raynaud's phenomenon","10048961"
"Dermatitis allergic","10049874","Dermatitis allergic","10049874"
"Paranoia","10051093","Paranoia","10051093"
"Hallucination, auditory","10060953","Hallucination, auditory","10060953"
"Night sweats","10003664","Night sweats","10003664"
"Lung neoplasm malignant","10007513","Lung neoplasm malignant","10007513"
"Stomach discomfort","10042101","Abdominal discomfort","10000059"
"Neurological symptom","10007632","Neurological symptom","10007632"
"Rash papular","10007636","Rash papular","10007636"
"Hair disorder","10008745","Hair disorder","10008745"
"Connective tissue disorder","10013002","Connective tissue disorder","10013002"
"Respiratory failure","10013012","Respiratory failure","10013012"
"Autoimmune disorder","10020871","Autoimmune disorder","10020871"
"Dermographism","10012521","Mechanical urticaria","10068773"
"Eosinophilia","10028604","Eosinophilia","10028604"
"Livedo reticularis","10028606","Livedo reticularis","10028606"
"Eye movement disorder","10028615","Eye movement disorder","10028615"
"Subcutaneous nodule","10042348","Skin mass","10067868"
"Pain in jaw","10033698","Pain in jaw","10033698"
"Acidosis","10038748","Acidosis","10038748"
"Dyskinesia","10039021","Dyskinesia","10039021"
"Hemiparesis","10045545","Hemiparesis","10045545"
"Nasal congestion","10047295","Nasal congestion","10047295"
"Tunnel vision","10047298","Tunnel vision","10047298"
"Injection site induration","10047470","Injection site induration","10047470"
"Injection site nodule","10048623","Injection site nodule","10048623"
"Hyperplasia","10048761","Hyperplasia","10048761"
"Renal disorder","10048858","Renal disorder","10048858"
"Atelectasis","10049430","Atelectasis","10049430"
"Liver disorder","10049694","Liver disorder","10049694"
"Spleen disorder","10049773","Spleen disorder","10049773"
"Pulmonary congestion","10050326","Pulmonary congestion","10050326"
"Sleep disorder","10050510","Sleep disorder","10050510"
"Aplastic anaemia","10052337","Aplastic anaemia","10052337"
"Pancytopenia","10056370","Pancytopenia","10056370"
"Platelet count decreased","10057500","Platelet count decreased","10057500"
"Sinus congestion","10057501","Sinus congestion","10057501"
"Joint effusion","10058222","Joint effusion","10058222"
"Congenital joint malformation","10058597","Congenital joint malformation","10058597"
"Vitreous floaters","10058735","Vitreous floaters","10058735"
"Heat exhaustion","10059056","Heat exhaustion","10059056"
"Tendinous contracture","10059162","Tendinous contracture","10059162"
"Similar reaction on previous exposure to drug","10061330","Similar reaction on previous exposure to drug","10061330"
"Faeces pale","10063836","Faeces pale","10063836"
"Rash morbilliform","10064021","Rash morbilliform","10064021"
"Discomfort","10064966","Discomfort","10064966"
"Rash macular","10066286","Rash macular","10066286"
"Swelling face","10066857","Swelling face","10066857"
"Tension","10067282","Tension","10067282"
"Eye discharge","10067286","Eye discharge","10067286"
"Feeding disorder neonatal","10016316","Selective eating disorder","10078069"
"Balance disorder","10069121","Balance disorder","10069121"
"Joint range of motion decreased","10071436","Joint range of motion decreased","10071436"
"Rash vesicular","10004050","Rash vesicular","10004050"
"Electroencephalogram normal","10007610","Electroencephalogram normal","10007610"
"Blood test normal","10034474","Blood test normal","10034474"
"Local swelling","10024770","Swelling","10042674"
"Red blood cell count decreased","10034484","Red blood cell count decreased","10034484"
"Vision blurred","10034487","Vision blurred","10034487"
"Nerve injury","10047472","Nerve injury","10047472"
"Upper respiratory tract infection","10049759","Upper respiratory tract infection","10049759"
"Sensation of heaviness","10040000","Discomfort","10013082"
"Difficulty in walking","10012794","Gait disturbance","10017577"
"Faeces discoloured","10062491","Faeces discoloured","10062491"
"Conversion disorder","10002915","Conversion disorder","10002915"
