pt,hlgt,sog,sog_name,hlgt_name,pt_name
10020974,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Hypocomplementaemia
10026891,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Mastocytosis
10027496,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Methaemoglobinaemia
10035146,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Placental transfusion syndrome
10044359,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Transfusion reaction
10048595,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Histiocytosis haematophagic
10051763,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Bone marrow oedema
10056474,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Erythrosis
10058002,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Hypoglobulinaemia
10058822,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Bone marrow necrosis
10059484,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Haemodilution
10061590,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Blood disorder
10061729,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Bone marrow disorder
10062714,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Dysglobulinaemia
10066816,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Bone marrow granuloma
10015493,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Essential thrombocythaemia
10020117,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Histiocytosis
10026851,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Marrow hyperplasia
10028537,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Myelofibrosis
10036057,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Polycythaemia vera
10049556,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Bone marrow tumour cell infiltration
10049646,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Lymphohistiocytosis
10060801,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Erdheim-Chester disease
10061232,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Lymphoproliferative disorder
10062044,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Lymphatic system neoplasm
10063397,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Rosai-Dorfman syndrome
10066476,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Haematological malignancy
10069070,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Histiocytic necrotising lymphadenitis
10069097,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Omenn syndrome
10069698,10018865,10005329,Blood and lymphatic system disorders,Haematopoietic neoplasms (excl leukaemias and lymphomas),Langerhans' cell histiocytosis
10013609,10018902,10005329,Blood and lymphatic system disorders,Haemoglobinopathies,Double heterozygous sickling disorders
10040641,10018902,10005329,Blood and lymphatic system disorders,Haemoglobinopathies,Sickle cell anaemia
10040642,10018902,10005329,Blood and lymphatic system disorders,Haemoglobinopathies,Sickle cell anaemia with crisis
10040650,10018902,10005329,Blood and lymphatic system disorders,Haemoglobinopathies,Sickle cell trait
10043388,10018902,10005329,Blood and lymphatic system disorders,Haemoglobinopathies,Thalassaemia
10043390,10018902,10005329,Blood and lymphatic system disorders,Haemoglobinopathies,Thalassaemia alpha
10060892,10018902,10005329,Blood and lymphatic system disorders,Haemoglobinopathies,Haemoglobinopathy
10000206,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,ABO incompatibility
10010940,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Coombs negative haemolytic anaemia
10010941,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Coombs positive haemolytic anaemia
10018444,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Glucose-6-phosphate dehydrogenase deficiency
10018901,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Haemoglobinaemia
10018906,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Haemoglobinuria
10018910,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Haemolysis
10018916,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Haemolytic anaemia
10018932,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Haemolytic uraemic syndrome
10019904,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Hereditary spherocytosis
10020578,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Hyperbilirubinaemia
10022822,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Intravascular haemolysis
10023126,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Jaundice
10023138,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Jaundice neonatal
10027527,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Microangiopathic haemolytic anaemia
10034042,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Paroxysmal nocturnal haemoglobinuria
10041509,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Spherocytic anaemia
10047822,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Warm type haemolytic anaemia
10052483,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Spur cell anaemia
10053873,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Evans syndrome
10058117,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Ocular icterus
10069395,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Haemosiderinuria
10073785,10018911,10005329,Blood and lymphatic system disorders,Haemolyses and related conditions,Autoimmune haemolytic anaemia
10000830,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Acute leukaemia
10000846,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Acute lymphocytic leukaemia
10000860,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Acute megakaryocytic leukaemia
10000880,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Acute myeloid leukaemia
10000890,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Acute myelomonocytic leukaemia
10001019,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Acute promyelocytic leukaemia
10003917,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,B-cell type acute leukaemia
10008958,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Chronic lymphocytic leukaemia
10009013,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Chronic myeloid leukaemia
10009018,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Chronic myelomonocytic leukaemia
10015281,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Erythroleukaemia
10019053,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Hairy cell leukaemia
10024288,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Leukaemia
10025270,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Lymphocytic leukaemia
10028533,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Myelodysplastic syndrome
10028549,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Myeloid leukaemia
10036888,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Prolymphocytic leukaemia
10042985,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,T-cell prolymphocytic leukaemia
10042987,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,T-cell type acute leukaemia
10061220,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Leukaemia in remission
10063620,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Acute lymphocytic leukaemia recurrent
10066231,10024324,10005329,Blood and lymphatic system disorders,Leukaemias,Central nervous system leukaemia
10020206,10025319,10005329,Blood and lymphatic system disorders,Lymphomas Hodgkin's disease,Hodgkin's disease
10020244,10025319,10005329,Blood and lymphatic system disorders,Lymphomas Hodgkin's disease,Hodgkin's disease nodular sclerosis
10020266,10025319,10005329,Blood and lymphatic system disorders,Lymphomas Hodgkin's disease,Hodgkin's disease recurrent
10020269,10025319,10005329,Blood and lymphatic system disorders,Lymphomas Hodgkin's disease,Hodgkin's disease stage II
10020270,10025319,10005329,Blood and lymphatic system disorders,Lymphomas Hodgkin's disease,Hodgkin's disease stage III
10061597,10025319,10005329,Blood and lymphatic system disorders,Lymphomas Hodgkin's disease,Hodgkin's disease stage IV
10003899,10025320,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's B-cell,B-cell lymphoma
10003907,10025320,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's B-cell,B-cell lymphoma stage IV
10006595,10025320,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's B-cell,Burkitt's lymphoma
10012818,10025320,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's B-cell,Diffuse large B-cell lymphoma
10029460,10025320,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's B-cell,Nodal marginal zone B-cell lymphoma
10036523,10025320,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's B-cell,Precursor B-lymphoblastic lymphoma
10036710,10025320,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's B-cell,Primary mediastinal large B-cell lymphoma
10047801,10025320,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's B-cell,Waldenstrom's macroglobulinaemia
10061850,10025320,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's B-cell,Extranodal marginal zone B-cell lymphoma (MALT type)
10002227,10025321,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's T-cell,Anaplastic large cell lymphoma T- and null-cell types
10002449,10025321,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's T-cell,Angioimmunoblastic T-cell lymphoma
10034623,10025321,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's T-cell,Peripheral T-cell lymphoma unspecified
10042971,10025321,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's T-cell,T-cell lymphoma
10066957,10025321,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's T-cell,Hepatosplenic T-cell lymphoma
10029547,10025322,10005329,Blood and lymphatic system disorders,Lymphomas non-Hodgkin's unspecified histology,Non-Hodgkin's lymphoma
10007953,10025323,10005329,Blood and lymphatic system disorders,Lymphomas NEC,Central nervous system lymphoma
10025310,10025323,10005329,Blood and lymphatic system disorders,Lymphomas NEC,Lymphoma
10020631,10035227,10005329,Blood and lymphatic system disorders,Plasma cell neoplasms,Hypergammaglobulinaemia benign monoclonal
10035226,10035227,10005329,Blood and lymphatic system disorders,Plasma cell neoplasms,Plasma cell myeloma
10035484,10035227,10005329,Blood and lymphatic system disorders,Plasma cell neoplasms,Plasmacytoma
10060880,10035227,10005329,Blood and lymphatic system disorders,Plasma cell neoplasms,Monoclonal gammopathy
10061333,10035227,10005329,Blood and lymphatic system disorders,Plasma cell neoplasms,Paraproteinaemia
10061964,10035227,10005329,Blood and lymphatic system disorders,Plasma cell neoplasms,Gammopathy
10035531,10035534,10005329,Blood and lymphatic system disorders,Platelet disorders,Platelet destruction increased
10035532,10035534,10005329,Blood and lymphatic system disorders,Platelet disorders,Platelet disorder
10035540,10035534,10005329,Blood and lymphatic system disorders,Platelet disorders,Platelet production decreased
10043554,10035534,10005329,Blood and lymphatic system disorders,Platelet disorders,Thrombocytopenia
10043561,10035534,10005329,Blood and lymphatic system disorders,Platelet disorders,Thrombocytopenic purpura
10043563,10035534,10005329,Blood and lymphatic system disorders,Platelet disorders,Thrombocytosis
10043648,10035534,10005329,Blood and lymphatic system disorders,Platelet disorders,Thrombotic thrombocytopenic purpura
10049058,10035534,10005329,Blood and lymphatic system disorders,Platelet disorders,HELLP syndrome
10062506,10035534,10005329,Blood and lymphatic system disorders,Platelet disorders,Heparin-induced thrombocytopenia
10074667,10035534,10005329,Blood and lymphatic system disorders,Platelet disorders,Immune thrombocytopenic purpura
10002536,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Anisocytosis
10014489,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Elliptocytosis
10015287,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Erythropenia
10025382,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Macrocytosis
10027540,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Microcytosis
10029825,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Nucleated red cells
10035774,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Poikilocytosis
10036040,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Polychromasia
10036051,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Polycythaemia
10038795,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Reticulocytopenia
10038796,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Reticulocytosis
10039238,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Rouleaux formation
10049190,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Red blood cell agglutination
10049467,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Erythropoiesis abnormal
10050789,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Hypochromasia
10061548,10038158,10005329,Blood and lymphatic system disorders,Red blood cell disorders,Red blood cell abnormality
10004411,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Benign neoplasm of thymus
10019847,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Hepatosplenomegaly
10020094,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Hilar lymphadenopathy
10025180,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymph node fibrosis
10025182,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymph node pain
10025183,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymph node tuberculosis
10025188,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymphadenitis
10025197,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymphadenopathy
10025205,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymphadenopathy mediastinal
10025219,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymphangioma
10025226,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymphangitis
10025282,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymphoedema
10027459,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Metastases to lymph nodes
10033969,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Paratracheal lymphadenopathy
10037127,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Pseudolymphoma
10038802,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Reticuloendothelial system stimulated
10041633,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Spleen disorder
10041646,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Splenic haematoma
10041647,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Splenic haemorrhage
10041648,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Splenic infarction
10041658,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Splenic rupture
10041659,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Splenic vein thrombosis
10041660,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Splenomegaly
10043670,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Thymoma
10049025,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Persistent generalised lymphadenopathy
10050167,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymph node abscess
10050294,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Spleen congestion
10050823,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymph gland infection
10051223,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Adenoiditis
10051808,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymphoid tissue hyperplasia
10052314,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymphatic disorder
10052645,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Thymus hypoplasia
10053622,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Asplenia
10056284,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymph node calcification
10057665,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Injection site lymphadenopathy
10058339,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Splenitis
10058949,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Cystic lymphangioma
10061031,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Thymoma malignant
10061381,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Thymus disorder
10065209,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymphadenitis viral
10065224,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Lymphadenitis bacterial
10065588,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Thymus enlargement
10067015,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Retroperitoneal lymphadenopathy
10068059,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Accessory spleen
10070594,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",PFAPA syndrome
10073485,10041641,10005329,Blood and lymphatic system disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Abdominal lymphadenopathy
10000748,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Acute febrile neutrophilic dermatosis
10001507,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Agranulocytosis
10004173,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Basophilia
10008415,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Chediak-Higashi syndrome
10008906,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Chronic granulomatous disease
10014950,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Eosinophilia
10014952,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Eosinophilia myalgia syndrome
10014954,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Eosinophilic fasciitis
10014961,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Eosinophilic myocarditis
10014962,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Eosinophilic pneumonia
10016288,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Febrile neutropenia
10017902,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Gastroenteritis eosinophilic
10018687,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Granulocytopenia
10018690,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Granulocytosis
10021914,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Infectious mononucleosis
10024328,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Leukaemoid reaction
10024378,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Leukocytosis
10024384,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Leukopenia
10025280,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Lymphocytosis
10025327,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Lymphopenia
10027905,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Monocytopenia
10027906,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Monocytosis
10027924,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Mononucleosis syndrome
10029354,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Neutropenia
10029379,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Neutrophilia
10035485,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Plasmacytosis
10048643,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Hypereosinophilic syndrome
10049151,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Neutropenic sepsis
10049172,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Eosinophilic pustulosis
10051645,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Idiopathic neutropenia
10052833,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Eosinophilic pneumonia chronic
10053430,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Erythrophagocytosis
10053775,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,B-lymphocyte abnormalities
10053776,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Eosinophilic cellulitis
10055128,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Autoimmune neutropenia
10057271,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Eosinophilic colitis
10058008,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Pseudomononucleosis
10058105,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Neutrophilic dermatosis
10061314,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Neutrophil function disorder
10061414,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,White blood cell disorder
10062049,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Lymphocytic infiltration
10062081,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Plasma cell disorder
10064212,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Eosinophilic oesophagitis
10072081,10047954,10005329,Blood and lymphatic system disorders,White blood cell disorders,Bandaemia
10002817,10064477,10005329,Blood and lymphatic system disorders,Coagulopathies and bleeding diatheses (excl thrombocytopenic),Antiphospholipid syndrome
10009802,10064477,10005329,Blood and lymphatic system disorders,Coagulopathies and bleeding diatheses (excl thrombocytopenic),Coagulopathy
10013442,10064477,10005329,Blood and lymphatic system disorders,Coagulopathies and bleeding diatheses (excl thrombocytopenic),Disseminated intravascular coagulation
